AGE,CAPITAL-LOSS,FNLWGT,EDUCATION,EDUCATION-NUM,MARITAL-STATUS,HOURS-PER-WEEK,RELATIONSHIP,RACE,SEX,CAPITAL-GAIN,CLASS
18,0,309634,6,7,3,22,2,1,1,0,1
31,0,125927,3,4,1,40,3,1,2,0,1
18,0,446839,8,9,3,30,4,1,2,0,1
52,0,276515,9,13,1,40,3,1,2,0,1
46,0,51618,8,9,1,40,1,1,1,0,1
59,0,159937,8,9,1,48,3,1,2,0,1
44,0,343591,8,9,2,40,4,1,1,14344,0
53,0,346253,8,9,2,35,2,1,1,0,1
49,0,268234,8,9,1,40,3,1,2,0,0
33,0,202051,11,14,1,50,3,1,2,0,1
30,0,54334,4,5,3,40,4,1,2,0,1
43,0,410867,15,16,3,50,4,1,1,0,0
57,0,249977,14,11,1,40,3,1,2,0,1
37,0,286730,10,10,2,40,6,1,1,0,1
28,0,212563,10,10,2,25,6,4,1,0,1
30,1573,117747,8,9,1,35,1,2,1,0,1
34,0,226296,9,13,1,40,3,1,2,0,0
29,0,115585,10,10,3,50,4,1,2,0,1
48,1902,191277,15,16,1,60,3,1,2,0,0
37,0,202683,10,10,1,48,3,1,2,0,0
48,0,171095,13,12,2,40,6,1,1,0,1
32,0,249409,8,9,3,40,2,4,2,0,1
76,0,124191,11,14,1,40,3,1,2,0,0
44,0,198282,9,13,1,60,3,1,2,15024,0
47,0,149116,11,14,3,50,4,1,1,0,1
20,0,188300,10,10,3,40,2,1,1,0,1
29,0,103432,8,9,3,40,4,1,2,0,1
32,0,317660,8,9,1,40,3,1,2,7688,0
17,0,304873,5,6,3,32,2,1,1,34095,1
30,0,194901,6,7,3,40,2,1,2,0,1
31,0,189265,8,9,3,40,4,1,1,0,1
42,0,124692,8,9,1,40,3,1,2,0,1
24,0,432376,9,13,3,40,5,1,2,0,1
38,0,65324,12,15,1,40,3,1,2,0,0
56,1887,335605,8,9,1,50,3,1,2,0,0
28,0,377869,10,10,1,25,1,1,1,4064,1
36,0,102864,8,9,3,40,2,1,1,0,1
53,0,95647,4,5,1,50,3,1,2,0,1
56,0,303090,10,10,1,50,3,1,2,0,1
49,0,197371,14,11,1,40,3,4,2,0,0
55,0,247552,10,10,1,56,3,1,2,0,1
22,0,102632,8,9,3,41,4,1,2,0,1
21,0,199915,10,10,3,40,2,1,1,0,1
40,0,118853,9,13,1,60,3,1,2,0,1
30,0,77143,9,13,3,40,2,4,2,0,1
29,0,267989,9,13,1,50,3,1,2,0,0
19,0,301606,10,10,3,35,2,4,2,0,1
47,0,287828,9,13,1,40,1,1,1,0,0
20,1719,111697,10,10,3,28,2,1,1,0,1
31,0,114937,13,12,1,40,3,1,2,0,0
35,0,129305,8,9,1,40,3,1,2,0,1
39,0,365739,10,10,2,40,4,1,2,0,1
28,0,69621,13,12,3,60,4,1,1,0,1
24,1762,43323,8,9,3,40,4,1,1,0,1
38,0,120985,8,9,1,35,3,1,2,4386,1
37,0,254202,9,13,1,50,3,1,2,0,1
46,0,146195,13,12,2,36,4,4,1,0,1
38,0,125933,11,14,1,40,3,1,2,0,0
43,0,56920,8,9,1,60,3,1,2,0,1
27,0,163127,14,11,1,35,1,1,1,0,1
20,0,34310,10,10,3,20,2,1,2,0,1
49,0,81973,10,10,1,40,3,2,2,0,0
61,0,66614,8,9,1,40,3,1,2,0,1
27,0,232782,10,10,3,40,2,1,1,0,1
19,0,316868,10,10,3,30,2,1,2,0,1
45,1564,196584,14,11,3,40,4,1,1,0,0
70,0,105376,10,10,3,40,5,1,2,0,1
31,0,185814,8,9,3,30,6,4,1,0,1
22,0,175374,10,10,1,24,3,1,2,0,1
36,0,108293,8,9,5,24,6,1,1,0,1
64,2179,181232,6,7,1,40,3,1,2,0,1
43,0,174662,10,10,2,40,4,1,1,0,1
47,0,186009,10,10,2,38,6,1,1,0,1
34,0,198183,8,9,3,40,4,1,1,0,1
33,0,163003,9,13,3,40,5,2,1,0,1
21,0,296158,8,9,3,35,2,1,2,0,1
52,0,252903,8,9,2,45,4,1,2,0,0
48,0,187715,8,9,1,46,3,1,2,0,1
23,0,214542,9,13,3,40,4,1,2,0,1
71,1816,494223,10,10,4,2,6,4,2,0,1
29,0,191535,8,9,2,60,4,1,2,0,1
42,0,228456,9,13,4,50,5,4,2,0,1
68,0,38317,1,2,2,20,4,1,1,0,1
25,0,252752,8,9,3,40,6,1,1,0,1
44,0,78374,11,14,2,40,6,2,1,0,1
28,0,88419,8,9,3,40,4,2,1,0,1
45,0,201080,11,14,1,40,3,1,2,0,0
36,0,207157,10,10,2,40,6,1,1,0,1
39,0,235485,13,12,3,42,4,1,2,0,1
46,0,102628,11,14,5,40,6,1,2,0,1
18,0,25828,6,7,3,16,2,1,2,0,1
66,0,54826,14,11,5,20,4,1,1,0,1
27,1980,124953,8,9,3,40,4,1,2,0,1
28,0,175325,8,9,1,40,3,1,2,0,1
51,1977,96062,10,10,1,40,3,1,2,0,0
27,0,428030,9,13,3,50,4,1,2,0,1
28,0,149624,9,13,1,40,3,1,2,0,0
27,0,253814,8,9,6,25,6,1,1,0,1
21,0,312956,8,9,3,40,2,4,2,0,1
34,0,483777,8,9,3,40,4,4,2,0,1
18,0,183930,8,9,3,12,2,1,2,0,1
33,0,37274,9,13,1,65,3,1,2,0,1
44,0,181344,10,10,1,38,3,4,2,0,0
43,0,114580,10,10,2,40,4,1,1,0,1
30,0,633742,10,10,3,45,4,4,2,0,1
40,0,286370,3,4,1,40,3,1,2,0,0
37,0,29054,10,10,1,42,3,1,2,0,0
34,0,304030,8,9,1,40,3,4,2,0,1
41,0,143129,9,13,2,40,4,1,1,0,1
53,0,135105,9,13,2,50,4,1,1,0,1
31,0,99928,11,14,1,50,1,1,1,0,1
58,0,109567,15,16,1,1,3,1,2,0,0
38,0,155222,10,10,2,28,4,4,1,0,1
24,0,159567,10,10,1,40,3,1,2,0,1
41,0,523910,9,13,1,40,3,4,2,0,1
47,0,120939,10,10,1,45,3,1,2,0,1
41,0,130760,9,13,1,24,3,1,2,0,1
23,0,197387,2,3,1,40,5,1,2,0,1
36,0,99374,10,10,2,40,4,1,2,0,1
40,0,56795,11,14,3,55,4,1,1,14084,0
35,0,138992,11,14,1,40,5,1,2,7298,0
24,0,32921,8,9,3,40,4,1,2,0,1
26,1876,397317,11,14,3,40,4,1,1,0,1
19,0,170653,8,9,3,40,2,1,2,0,1
51,0,259323,9,13,1,50,3,1,2,0,0
42,1340,254817,10,10,3,40,4,1,1,0,1
37,0,48211,8,9,2,35,6,1,1,0,1
18,0,140164,6,7,3,40,2,1,1,0,1
36,0,128757,9,13,1,36,3,4,2,7298,0
35,0,36270,8,9,2,60,4,1,2,0,1
58,0,210563,8,9,1,35,1,1,1,15024,0
17,0,65368,6,7,3,12,2,1,1,0,1
44,0,160943,8,9,1,40,3,4,2,0,1
37,0,208358,8,9,1,40,3,1,2,0,0
35,0,153790,10,10,3,40,4,3,1,0,1
60,0,85815,8,9,1,40,3,2,2,0,1
54,0,125417,3,4,1,40,3,1,2,0,0
37,0,635913,9,13,3,60,4,4,2,0,0
50,0,313321,13,12,2,40,4,1,1,0,1
38,0,182609,9,13,1,50,3,1,2,0,1
45,0,109434,9,13,1,55,3,1,2,0,1
25,0,255004,5,6,3,40,4,1,2,0,1
31,0,197860,10,10,1,40,3,1,2,0,1
64,0,187656,1,2,2,40,4,1,2,0,1
90,2206,51744,8,9,3,40,4,4,2,0,1
54,0,176681,8,9,1,20,3,4,2,0,1
53,0,140359,0,1,3,35,4,1,1,0,1
18,0,243313,8,9,3,40,2,1,1,0,1
60,0,24215,5,6,2,10,4,3,1,0,1
66,0,167687,8,9,1,50,3,1,2,1409,1
75,0,314209,14,11,5,20,4,1,1,0,1
65,0,176796,8,9,2,40,4,1,1,0,1
35,0,538583,6,7,4,40,4,4,2,3674,1
41,0,130408,8,9,2,38,6,4,1,0,1
25,0,159732,10,10,3,42,4,1,2,0,1
33,0,110978,10,10,2,40,5,4,1,0,1
28,0,76714,12,15,3,55,4,1,2,0,0
59,0,268700,8,9,1,40,3,1,2,0,1
40,0,170525,10,10,3,38,4,1,1,0,1
41,0,180138,9,13,1,50,3,1,2,0,0
38,0,115076,11,14,1,70,3,1,2,0,0
23,0,115458,8,9,3,40,2,1,2,0,1
40,0,347890,9,13,1,40,3,1,2,0,0
41,0,196001,8,9,1,20,1,1,1,0,1
24,0,273905,13,12,1,50,3,1,2,0,1
20,0,119156,10,10,3,20,2,1,2,0,1
38,1741,179488,10,10,2,40,4,1,2,0,1
56,0,203580,8,9,1,35,3,1,2,0,1
58,0,236596,8,9,1,45,3,1,2,0,0
32,0,183916,8,9,3,34,4,1,1,0,1
40,1977,207578,13,12,1,60,3,1,2,0,0
45,0,153141,8,9,1,40,3,1,2,0,1
41,0,112763,12,15,1,40,1,1,1,0,0
42,0,390781,9,13,1,40,1,4,1,0,1
59,0,171328,5,6,5,30,6,4,1,0,1
19,0,27382,10,10,3,40,2,1,2,0,1
58,0,259014,10,10,3,20,4,1,2,0,1
42,0,303044,8,9,1,40,3,2,2,0,0
20,0,117789,8,9,3,40,2,1,1,0,1
32,0,172579,8,9,4,30,4,1,1,0,1
45,0,187666,14,11,5,45,4,1,1,0,1
50,0,204518,3,4,2,40,4,1,2,0,1
36,0,150042,9,13,2,40,2,1,1,0,1
45,0,98092,8,9,1,60,3,1,2,0,1
17,0,245918,6,7,3,12,2,1,2,0,1
59,0,146013,10,10,1,40,3,1,2,4064,1
26,0,378322,6,7,1,40,3,1,2,0,1
37,0,257295,10,10,1,75,3,2,2,0,0
19,0,218956,10,10,3,24,2,1,2,0,1
64,0,21174,8,9,1,40,3,1,2,0,0
33,0,185480,9,13,3,45,4,1,1,0,1
33,0,222205,8,9,1,40,1,1,1,0,0
61,0,69867,8,9,1,40,3,1,2,0,0
17,0,191260,4,5,3,24,2,1,2,1055,1
50,0,30653,11,14,1,98,3,1,2,2407,1
27,0,209109,11,14,3,35,2,1,2,0,1
30,0,70377,8,9,2,40,2,1,1,0,1
43,0,477983,8,9,1,40,3,4,2,0,1
44,0,170924,10,10,1,40,3,1,2,7298,0
35,0,190174,10,10,3,40,4,1,1,0,1
25,0,193787,10,10,3,40,2,1,1,0,1
24,0,279472,10,10,1,48,1,1,1,7298,0
22,0,34918,9,13,3,15,4,1,1,0,1
42,0,97688,10,10,1,40,3,1,2,5178,0
34,0,175413,13,12,2,45,6,4,1,0,1
60,0,173960,9,13,2,42,4,1,1,0,1
21,0,205759,8,9,3,40,2,1,2,0,1
57,0,425161,11,14,1,40,3,1,2,15024,0
41,0,220531,12,15,1,60,3,1,2,0,0
50,0,176609,10,10,2,45,4,1,2,0,1
25,0,371987,9,13,3,40,4,1,1,0,1
50,0,193884,3,4,1,40,3,1,2,0,1
36,0,200352,9,13,1,45,3,1,2,0,1
31,0,127595,8,9,2,40,4,1,1,0,1
29,0,220419,9,13,3,56,4,1,2,0,1
21,0,231931,10,10,3,45,2,1,2,0,1
27,0,248402,9,13,3,40,6,4,1,0,1
65,0,111095,8,9,1,16,3,1,2,0,1
37,0,57424,9,13,2,60,4,1,1,0,1
39,0,157443,11,14,1,40,1,2,1,3464,1
24,0,278130,8,9,3,40,2,1,2,0,1
38,0,169469,8,9,2,80,4,1,2,0,1
48,0,146268,9,13,1,40,3,1,2,7688,0
21,0,153718,10,10,3,25,4,2,1,0,1
31,0,217460,8,9,1,45,3,1,2,0,0
55,0,238638,8,9,1,40,3,1,2,4386,0
24,0,303296,10,10,1,40,1,2,1,0,1
43,0,173321,8,9,2,40,4,1,1,0,1
26,0,193945,13,12,3,45,4,1,2,0,1
46,0,83082,13,12,3,33,4,1,1,0,1
35,0,193815,13,12,1,40,3,1,2,0,0
41,0,34987,10,10,1,54,3,1,2,0,0
26,0,59306,9,13,3,40,4,1,2,0,1
34,0,142897,11,14,1,35,3,2,2,7298,0
19,0,860348,10,10,3,25,2,4,1,0,1
36,0,205607,9,13,2,40,4,4,1,0,0
22,0,199698,10,10,3,15,2,1,2,0,1
24,0,191954,10,10,3,40,4,1,2,0,1
77,0,138714,10,10,1,40,3,1,2,0,1
22,0,399087,2,3,1,40,5,1,1,0,1
29,0,423158,10,10,3,40,4,1,1,0,1
62,0,159841,8,9,5,24,4,1,1,0,1
39,0,174308,8,9,1,40,3,1,2,0,1
43,1485,50356,10,10,1,50,3,1,2,0,1
35,0,186110,8,9,2,45,4,1,2,0,1
29,0,200381,6,7,3,40,4,1,1,0,1
76,0,174309,11,14,1,10,3,1,2,0,1
63,0,78383,8,9,1,45,3,1,2,0,1
23,0,211601,14,11,3,15,2,4,1,0,1
43,1887,187728,10,10,1,50,1,1,1,0,0
58,0,321171,8,9,1,40,3,1,2,0,1
66,0,127921,8,9,3,55,4,1,2,2050,1
41,0,206565,10,10,3,45,4,4,2,0,1
26,0,224563,9,13,3,40,4,1,2,0,1
47,0,178686,14,11,3,40,4,1,2,0,1
55,0,98545,5,6,1,40,3,1,2,0,1
53,0,242606,8,9,1,40,3,1,2,0,1
17,0,270942,2,3,3,48,5,1,2,0,1
30,0,94235,8,9,3,40,5,1,2,0,1
49,0,71195,11,14,3,60,4,1,2,0,1
19,0,104112,8,9,3,30,6,4,2,0,1
45,0,261192,8,9,1,40,3,4,2,0,1
26,0,94936,13,12,3,40,4,1,2,0,1
38,0,296478,14,11,1,40,3,1,2,7298,0
36,0,119272,8,9,1,40,3,1,2,7298,0
33,0,85043,8,9,3,20,4,1,2,0,1
22,0,293364,10,10,3,40,2,4,1,0,1
43,0,241895,9,13,3,42,4,1,2,0,1
67,0,36135,6,7,1,8,3,1,2,0,1
30,0,151989,14,11,2,40,6,1,1,0,1
56,0,101128,13,12,6,25,4,1,2,0,1
31,0,156464,9,13,3,25,2,1,2,0,1
33,0,117963,9,13,1,40,3,1,2,0,0
26,0,192262,8,9,1,40,3,1,2,0,1
33,0,111363,9,13,1,40,3,1,2,0,0
46,0,329752,6,7,1,30,3,1,2,0,1
59,0,372020,9,13,1,40,3,1,2,0,0
38,0,95432,8,9,1,40,3,1,2,0,0
65,0,161400,6,7,5,40,6,4,2,0,1
40,0,96129,14,11,1,40,3,1,2,0,0
42,0,111949,8,9,1,35,1,1,1,0,1
26,0,117125,4,5,1,40,3,1,2,0,1
36,0,348022,5,6,1,24,1,1,1,0,1
62,0,270092,11,14,1,40,3,1,2,0,0
43,0,180609,9,13,1,45,3,1,2,0,1
43,1564,174575,9,13,2,45,4,1,2,0,0
22,0,410439,8,9,6,55,4,1,2,0,1
28,0,92262,8,9,1,40,3,1,2,0,1
56,0,183081,10,10,1,45,3,1,2,0,1
22,0,362589,13,12,3,15,4,1,1,0,1
57,0,212448,9,13,2,45,4,1,1,0,0
39,0,481060,8,9,2,40,6,1,1,0,1
26,0,185885,10,10,3,15,6,1,1,0,1
17,0,89821,6,7,3,10,2,1,2,0,1
40,0,184018,14,11,1,38,3,1,2,0,0
45,0,256649,8,9,1,40,3,4,2,0,1
44,0,160323,8,9,3,40,4,4,2,0,1
20,0,350845,10,10,3,10,2,1,1,0,1
33,0,267404,8,9,1,40,1,1,1,0,1
23,0,35633,10,10,3,40,4,1,2,0,1
46,0,80914,11,14,2,30,4,1,2,0,1
38,0,172927,8,9,1,50,3,1,2,0,1
54,0,174319,8,9,2,40,4,1,2,0,1
46,2339,214955,2,3,2,45,4,1,1,0,1
25,0,344991,10,10,1,40,3,1,2,0,1
46,0,108699,10,10,2,40,4,1,1,0,1
36,0,117312,10,10,1,40,1,1,1,0,1
23,0,396099,8,9,3,25,4,1,1,0,1
29,0,134152,8,9,4,40,4,1,2,0,1
44,2415,162028,10,10,1,6,1,1,1,0,0
19,0,25429,10,10,3,16,2,1,1,0,1
19,0,232392,8,9,3,40,5,1,1,0,1
35,0,220098,8,9,1,40,1,1,1,0,0
27,0,301302,9,13,3,50,4,1,2,0,1
46,0,277946,13,12,4,40,4,1,2,0,1
34,0,98101,9,13,1,45,3,1,2,7688,0
34,0,196164,8,9,3,35,4,1,1,0,1
44,0,115562,10,10,1,40,3,1,2,0,1
45,0,96975,10,10,2,40,6,1,1,0,1
20,0,137300,8,9,3,35,5,1,1,0,1
25,0,86872,9,13,1,55,3,1,2,0,0
52,0,132178,9,13,1,50,3,1,2,0,0
20,0,416103,10,10,3,40,2,1,2,0,1
28,0,108574,10,10,3,40,4,1,1,0,1
50,0,288353,9,13,1,40,3,1,2,0,0
34,0,227689,14,11,2,64,4,1,1,0,1
28,2179,166481,3,4,1,40,3,4,2,0,1
41,1977,445382,11,14,1,65,3,1,2,0,0
28,0,110145,8,9,1,40,3,1,2,0,1
46,0,317253,8,9,1,25,3,1,2,0,1
28,1887,123147,10,10,1,40,1,1,1,0,0
32,0,364657,10,10,1,50,3,1,2,0,1
41,0,42346,10,10,2,24,4,4,1,0,1
24,0,241951,8,9,3,40,6,4,1,0,1
33,0,118500,10,10,2,40,6,1,1,0,1
46,0,188386,15,16,1,60,3,1,2,15024,0
31,0,1033222,10,10,1,40,3,1,2,0,1
35,0,92440,7,8,2,50,4,1,2,0,0
52,0,190762,1,2,1,40,3,1,2,0,1
30,0,426017,6,7,3,19,2,1,1,0,1
34,0,243867,6,7,4,40,4,4,2,0,1
34,0,240283,8,9,2,40,6,1,1,0,1
20,0,61777,10,10,1,30,3,1,2,0,1
17,0,175024,6,7,3,18,2,1,2,2176,1
32,0,92003,9,13,1,40,1,1,1,0,0
29,0,188401,8,9,2,40,4,1,2,0,1
33,0,228528,5,6,3,35,6,1,1,0,1
25,0,133373,8,9,1,60,3,1,2,0,1
36,1408,255191,11,14,3,40,4,1,2,0,1
23,0,204653,8,9,3,72,4,1,2,0,1
63,0,222289,8,9,1,40,3,1,2,0,0
47,0,287480,11,14,1,40,3,1,2,0,1
80,0,107762,8,9,5,24,4,1,2,0,1
17,0,202521,6,7,3,40,2,1,2,0,1
40,0,204116,9,13,6,40,4,1,1,2174,1
30,0,29662,13,12,1,25,1,1,1,0,0
27,1980,116358,10,10,3,40,2,2,2,0,1
33,0,208405,11,14,1,50,3,1,2,0,0
34,0,284843,8,9,3,60,4,4,2,594,1
34,0,117018,10,10,3,40,4,1,1,0,1
23,0,81281,10,10,1,40,3,1,2,0,1
42,0,340148,10,10,1,40,1,1,1,0,1
29,0,363425,9,13,3,40,4,1,2,0,1
45,0,45857,8,9,2,28,4,1,1,0,1
24,0,191073,8,9,3,40,2,1,2,0,1
44,0,116632,10,10,1,40,3,1,2,0,0
27,0,405855,4,5,3,40,5,1,2,0,1
20,0,298227,10,10,3,35,4,1,2,0,1
44,0,290521,8,9,5,40,6,4,1,0,1
51,0,56915,8,9,1,40,3,3,2,0,1
20,0,146538,8,9,1,40,3,1,2,0,1
17,0,258872,6,7,3,5,2,1,1,0,1
19,0,206399,8,9,3,40,2,4,1,0,1
45,0,197332,10,10,1,55,3,1,2,0,0
60,0,245062,8,9,1,40,3,1,2,0,0
42,0,197583,13,12,1,40,3,4,2,0,0
44,0,234885,8,9,1,40,1,1,1,0,0
40,0,72887,14,11,1,40,3,2,2,0,0
30,0,180374,8,9,1,40,1,1,1,0,1
38,0,351299,10,10,1,50,3,4,2,0,1
23,0,54012,8,9,1,60,3,1,2,0,1
32,0,115745,10,10,1,40,3,1,2,0,1
44,0,116632,13,12,3,40,2,1,2,0,1
54,0,288825,8,9,1,40,3,4,2,0,1
32,0,132601,9,13,1,50,3,1,2,0,1
50,0,193374,1,2,6,40,6,1,2,0,1
24,0,170070,9,13,3,20,4,1,1,0,1
37,0,126708,8,9,1,60,1,1,1,0,1
52,0,35598,8,9,2,40,6,1,2,0,1
38,0,33983,10,10,1,40,3,1,2,0,1
49,1977,192776,11,14,1,45,3,1,2,0,0
30,0,118551,9,13,1,16,1,1,1,0,0
60,0,201965,10,10,3,40,6,1,2,0,0
22,0,139883,10,10,3,40,2,1,2,0,1
35,0,285020,8,9,3,40,4,1,2,0,1
30,0,303990,8,9,3,60,4,1,2,0,1
67,0,49401,14,11,2,24,4,1,1,0,1
46,0,279196,9,13,3,40,4,1,1,0,1
17,0,211870,4,5,3,6,4,1,2,0,1
22,0,281432,10,10,3,30,2,1,2,0,1
27,0,161155,5,6,3,40,4,1,2,0,1
23,0,197904,8,9,3,35,6,1,1,0,1
33,0,111746,13,12,1,45,3,1,2,0,1
43,0,170721,10,10,1,20,3,1,2,0,1
28,0,70100,9,13,3,20,4,1,2,0,1
41,0,193626,8,9,6,40,6,1,1,0,1
52,0,271749,7,8,3,40,5,4,2,594,1
25,0,189775,10,10,6,20,2,4,1,0,1
63,0,401531,1,2,1,35,3,1,2,0,1
59,0,286967,8,9,1,45,3,1,2,0,1
45,0,164427,9,13,2,40,6,1,1,0,1
38,0,91039,9,13,1,60,3,1,2,15024,0
40,0,347934,8,9,3,35,4,1,1,0,1
46,0,371373,8,9,2,40,4,1,2,0,1
35,0,32220,13,12,3,60,4,1,1,0,1
34,0,187251,8,9,2,25,6,1,1,0,1
33,0,178107,9,13,3,20,2,1,2,0,1
41,0,343121,8,9,2,36,6,1,1,0,1
20,0,262749,10,10,3,40,2,1,2,0,1
23,0,403107,2,3,3,40,2,1,2,0,1
26,0,64293,10,10,3,35,4,1,1,0,1
72,0,303588,8,9,1,20,3,1,2,0,1
23,0,324960,8,9,3,40,4,1,2,0,1
62,0,114060,8,9,1,40,3,1,2,0,1
52,0,48925,10,10,1,40,3,1,2,0,1
58,0,180980,10,10,2,42,6,1,1,0,1
25,0,181054,9,13,3,40,4,1,1,0,1
24,0,388093,9,13,3,40,4,4,2,0,1
19,0,249609,10,10,3,8,2,1,2,0,1
43,0,112131,10,10,1,40,3,1,2,0,1
47,0,543162,8,9,4,40,6,4,1,0,1
39,0,91996,8,9,2,40,6,1,1,0,1
49,1380,141944,14,11,6,42,6,1,2,0,1
53,0,251804,2,3,5,30,6,4,1,0,1
32,0,37070,14,11,3,45,4,1,2,0,1
34,0,337587,10,10,1,50,3,1,2,0,0
28,0,189346,8,9,2,45,4,1,2,0,1
57,0,222216,14,11,5,38,6,1,1,0,1
25,0,267044,10,10,3,20,4,3,1,0,1
20,0,214635,10,10,3,24,2,1,2,0,1
21,0,204226,10,10,3,35,6,1,1,0,1
34,0,108116,9,13,1,50,3,1,2,0,0
38,0,99146,9,13,1,80,3,1,2,15024,0
50,0,196232,8,9,1,50,3,1,2,7688,0
24,0,248344,10,10,2,50,4,4,2,0,1
37,0,186035,10,10,1,45,3,1,2,0,0
44,0,177905,10,10,2,58,6,1,2,0,0
28,0,85812,10,10,1,40,1,1,1,0,1
42,0,221172,9,13,1,40,3,1,2,0,0
74,0,99183,10,10,2,9,4,1,1,0,1
38,0,190387,8,9,1,50,3,1,2,0,1
44,0,202692,11,14,1,40,3,1,2,0,1
44,0,109339,6,7,2,46,6,4,1,0,1
26,0,108658,8,9,3,40,4,1,2,0,1
36,0,197202,8,9,1,40,3,4,2,0,1
41,0,101739,13,12,1,50,1,1,1,0,0
67,0,231559,12,15,1,48,3,1,2,20051,0
39,0,207853,7,8,1,50,3,1,2,0,1
57,0,190942,1,2,5,30,4,4,1,0,1
29,0,102345,14,11,4,40,4,1,2,0,1
31,0,41493,9,13,3,45,4,1,1,0,1
34,0,190027,8,9,3,40,6,4,1,0,1
44,0,210525,10,10,1,40,3,1,2,0,1
29,0,133937,15,16,3,40,2,1,2,0,1
30,0,237903,10,10,3,40,6,1,1,0,1
27,0,163862,8,9,3,40,4,1,2,0,1
27,0,201872,10,10,1,50,3,1,2,0,1
32,0,84179,8,9,3,45,4,1,1,0,1
58,0,51662,5,6,1,8,1,1,1,0,1
35,0,233327,10,10,1,40,3,1,2,0,1
21,0,259510,8,9,3,36,2,1,2,0,1
